,Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
0,1,2018-01-04,15270.7,15739.7,14522.2,15599.2,"21,783,200,000","256,250,000,000",BTC,0.0215117840046625
1,2,2018-01-03,14978.2,15572.8,14844.5,15201.0,"16,871,900,000","251,312,000,000",BTC,0.0148749515963199
2,3,2018-01-02,13625.0,15444.6,13163.6,14982.1,"16,846,600,000","228,579,000,000",BTC,0.0996036697247707
3,4,2018-01-01,14112.2,14112.2,13154.7,13657.2,"10,291,200,000","236,725,000,000",BTC,-0.0322416065531951
4,5,2017-12-31,12897.7,14377.4,12755.6,14156.4,"12,136,300,000","216,326,000,000",BTC,0.0975910433643207
5,6,2017-12-30,14681.9,14681.9,12350.1,12952.2,"14,452,600,000","246,224,000,000",BTC,-0.117811727364987
6,7,2017-12-29,14695.8,15279.0,14307.0,14656.2,"13,025,500,000","246,428,000,000",BTC,-0.00269464745029182
7,8,2017-12-28,15864.1,15888.4,13937.3,14606.5,"12,336,500,000","265,988,000,000",BTC,-0.0792733278282411
8,9,2017-12-27,16163.5,16930.9,15114.3,15838.5,"12,487,600,000","270,976,000,000",BTC,-0.0201070312741671
9,10,2017-12-26,14036.6,16461.2,14028.9,16099.8,"13,454,300,000","235,294,000,000",BTC,0.14698716213328
10,11,2017-12-25,13995.9,14593.0,13448.9,14026.6,"10,664,700,000","234,590,000,000",BTC,0.0021934995248609
11,12,2017-12-24,14608.2,14626.0,12747.7,13925.8,"11,572,300,000","244,824,000,000",BTC,-0.0467134896838763
12,13,2017-12-23,13948.7,15603.2,13828.8,14699.2,"13,086,000,000","233,748,000,000",BTC,0.0538042971746471
13,14,2017-12-22,15898.0,15943.4,11833.0,13831.8,"22,198,000,000","266,381,000,000",BTC,-0.129966033463329
14,15,2017-12-21,16642.4,17567.7,15342.7,15802.9,"16,516,600,000","278,827,000,000",BTC,-0.0504434456568765
15,16,2017-12-20,17760.3,17934.7,16077.7,16624.6,"22,149,700,000","297,526,000,000",BTC,-0.06394599190329
16,17,2017-12-19,19118.3,19177.8,17275.4,17776.7,"16,894,500,000","320,242,000,000",BTC,-0.0701736033015487
17,18,2017-12-18,19106.4,19371.0,18355.9,19114.2,"14,839,500,000","320,000,000,000",BTC,0.000408240170832772
18,19,2017-12-17,19475.8,20089.0,18974.1,19140.8,"13,314,600,000","326,141,000,000",BTC,-0.0172008338553487
19,20,2017-12-16,17760.3,19716.7,17515.3,19497.4,"12,740,600,000","297,376,000,000",BTC,0.0978080325219733
20,21,2017-12-15,16601.3,18154.1,16601.3,17706.9,"14,310,000,000","277,936,000,000",BTC,0.0665971941956354
21,22,2017-12-14,16384.6,17085.8,16185.9,16564.0,"13,777,400,000","274,269,000,000",BTC,0.0109493060556865
22,23,2017-12-13,17500.0,17653.1,16039.7,16408.2,"12,976,900,000","292,900,000,000",BTC,-0.0623885714285714
23,24,2017-12-12,16919.8,17781.8,16571.6,17415.4,"14,603,800,000","283,155,000,000",BTC,0.0292911263726523
24,25,2017-12-11,15427.4,17513.9,15404.8,16936.8,"12,153,900,000","258,147,000,000",BTC,0.0978389099913141
25,26,2017-12-10,15168.4,15850.6,13226.6,15455.4,"13,433,300,000","253,782,000,000",BTC,0.0189209145328446
26,27,2017-12-09,16523.3,16783.0,13674.9,15178.2,"13,911,300,000","276,415,000,000",BTC,-0.0814062566194403
27,28,2017-12-08,17802.9,18353.4,14336.9,16569.4,"21,136,000,000","297,787,000,000",BTC,-0.0692864645647619
28,29,2017-12-07,14266.1,17899.7,14057.3,17899.7,"17,950,700,000","238,600,000,000",BTC,0.254701705441571
29,30,2017-12-06,11923.4,14369.1,11923.4,14291.5,"12,656,300,000","199,390,000,000",BTC,0.198609457034067
30,31,2017-12-05,11685.7,12032.0,11604.6,11916.7,"6,895,260,000","195,389,000,000",BTC,0.0197677503273231
31,32,2017-12-04,11315.4,11657.2,11081.8,11657.2,"6,132,410,000","189,172,000,000",BTC,0.0302066210650972
32,33,2017-12-03,11082.7,11858.7,10862.0,11323.2,"6,608,310,000","185,258,000,000",BTC,0.0217004881481949
33,34,2017-12-02,10978.3,11320.2,10905.1,11074.6,"5,138,500,000","183,490,000,000",BTC,0.00877184992211919
34,35,2017-12-01,10198.6,11046.7,9694.65,10975.6,"6,783,120,000","170,436,000,000",BTC,0.0761869276175161
35,36,2017-11-30,9906.79,10801.0,9202.05,10233.6,"8,310,690,000","165,537,000,000",BTC,0.0329884856749764
